F	서연	1	36,825
F	서윤	2	36,327
F	지우	3	31,748
F	서현	4	29,362
F	하은	5	28,685
F	하윤	6	28,645
F	민서	7	28,024
F	지유	8	24,231
F	윤서	9	23,761
F	지민	10	22,707
F	채원	11	22,365
F	수아	12	22,011
F	지아	13	20,919
F	지윤	14	20,904
F	은서	15	20,830
F	다은	16	20,575
F	예은	17	19,516
F	수빈	18	18,544
F	지안	19	18,473
F	소율	20	18,388
F	예린	21	17,679
F	예원	22	17,400
F	하린	23	17,387
F	지원	24	17,077
F	소윤	25	16,758
F	서아	26	16,658
F	시은	27	15,372
F	유나	28	15,323
F	유진	29	15,259
F	채은	30	14,826
F	윤아	31	14,403
F	가은	32	14,238
F	서영	33	13,902
F	민지	34	13,686
F	예진	35	13,514
F	예나	36	13,259
F	수민	37	13,176
F	수연	38	12,900
F	연우	39	12,813
F	시아	40	12,616
F	아린	41	12,551
F	예서	42	12,437
F	주아	43	12,304
F	하율	44	11,912
F	시연	45	11,820
F	연서	46	11,610
F	다인	47	11,451
F	서우	48	11,234
F	유주	49	11,156
F	다연	50	11,038
F	아인	51	10,971
F	현서	52	10,856
F	아윤	53	10,829
F	서은	54	10,759
F	채윤	55	10,342
F	하연	56	10,287
F	서율	57	10,280
F	서진	58	10,247
F	유빈	59	10,166
F	나윤	60	10,159
F	지율	61	10,139
F	나은	62	10,112
F	수현	63	9,988
F	예지	64	9,809
F	다현	65	9,722
F	서하	66	9,469
F	소은	67	9,056
F	나연	68	9,024
F	지은	69	9,003
F	민주	70	8,936
F	사랑	71	8,833
F	시현	72	8,747
F	예빈	73	8,714
F	윤지	74	8,682
F	지현	75	8,564
F	소연	76	8,524
F	채아	77	8,397
F	혜원	78	8,137
F	지수	79	8,108
F	은채	80	8,106
F	주하	81	8,050
F	승아	82	7,800
F	다윤	83	7,558
F	소민	84	7,502
F	서희	85	7,402
F	나현	86	7,365
F	채린	87	7,362
F	민아	88	7,355
F	하영	89	7,288
F	세아	90	7,257
F	세은	91	7,214
F	도연	92	7,112
F	규리	93	7,091
F	아영	94	7,075
F	다온	95	6,839
F	가윤	96	6,679
F	지연	97	6,670
F	예림	98	6,626
F	태희	99	6,460
F	민채	100	6,444
